dataset,sample_id,split,stratum,full_line_number,in_pilot,in_smoke20
fpb,fpb-full-000025,full,split=full|label=positive,25,True,False
fpb,fpb-full-000695,full,split=full|label=neutral,695,True,False
fpb,fpb-full-000696,full,split=full|label=neutral,696,True,False
fpb,fpb-full-000710,full,split=full|label=positive,710,True,True
fpb,fpb-full-000712,full,split=full|label=positive,712,True,False
fpb,fpb-full-000737,full,split=full|label=negative,737,True,False
fpb,fpb-full-000796,full,split=full|label=positive,796,True,False
fpb,fpb-full-000875,full,split=full|label=positive,875,True,False
fpb,fpb-full-000900,full,split=full|label=positive,900,True,False
fpb,fpb-full-000980,full,split=full|label=positive,980,True,False
fpb,fpb-full-000990,full,split=full|label=positive,990,True,False
fpb,fpb-full-000999,full,split=full|label=neutral,999,True,False
fpb,fpb-full-001040,full,split=full|label=neutral,1040,True,False
fpb,fpb-full-001054,full,split=full|label=neutral,1054,True,False
fpb,fpb-full-001062,full,split=full|label=neutral,1062,True,False
fpb,fpb-full-001085,full,split=full|label=neutral,1085,True,False
fpb,fpb-full-001087,full,split=full|label=neutral,1087,True,False
fpb,fpb-full-001109,full,split=full|label=neutral,1109,True,False
fpb,fpb-full-001122,full,split=full|label=neutral,1122,True,False
fpb,fpb-full-001127,full,split=full|label=neutral,1127,True,True
fpb,fpb-full-001131,full,split=full|label=positive,1131,True,False
fpb,fpb-full-001137,full,split=full|label=neutral,1137,True,True
fpb,fpb-full-001186,full,split=full|label=positive,1186,True,False
fpb,fpb-full-001224,full,split=full|label=neutral,1224,True,True
fpb,fpb-full-001262,full,split=full|label=positive,1262,True,False
fpb,fpb-full-001273,full,split=full|label=neutral,1273,True,False
fpb,fpb-full-001290,full,split=full|label=positive,1290,True,True
fpb,fpb-full-001372,full,split=full|label=neutral,1372,True,False
fpb,fpb-full-001401,full,split=full|label=neutral,1401,True,False
fpb,fpb-full-001435,full,split=full|label=positive,1435,True,False
fpb,fpb-full-001439,full,split=full|label=neutral,1439,True,False
fpb,fpb-full-001477,full,split=full|label=neutral,1477,True,False
fpb,fpb-full-001493,full,split=full|label=neutral,1493,True,False
fpb,fpb-full-001547,full,split=full|label=positive,1547,True,False
fpb,fpb-full-001559,full,split=full|label=neutral,1559,True,False
fpb,fpb-full-001575,full,split=full|label=neutral,1575,True,False
fpb,fpb-full-001613,full,split=full|label=neutral,1613,True,False
fpb,fpb-full-001664,full,split=full|label=neutral,1664,True,False
fpb,fpb-full-001667,full,split=full|label=positive,1667,True,False
fpb,fpb-full-001701,full,split=full|label=positive,1701,True,False
fpb,fpb-full-001794,full,split=full|label=positive,1794,True,False
fpb,fpb-full-001799,full,split=full|label=positive,1799,True,False
fpb,fpb-full-001862,full,split=full|label=neutral,1862,True,False
fpb,fpb-full-001869,full,split=full|label=neutral,1869,True,False
fpb,fpb-full-001870,full,split=full|label=neutral,1870,True,False
fpb,fpb-full-001954,full,split=full|label=positive,1954,True,False
fpb,fpb-full-001989,full,split=full|label=positive,1989,True,False
fpb,fpb-full-001990,full,split=full|label=negative,1990,True,False
fpb,fpb-full-002017,full,split=full|label=neutral,2017,True,False
fpb,fpb-full-002018,full,split=full|label=neutral,2018,True,False
fpb,fpb-full-002042,full,split=full|label=neutral,2042,True,False
fpb,fpb-full-002046,full,split=full|label=neutral,2046,True,False
fpb,fpb-full-002070,full,split=full|label=positive,2070,True,False
fpb,fpb-full-002071,full,split=full|label=neutral,2071,True,False
fpb,fpb-full-002081,full,split=full|label=neutral,2081,True,False
fpb,fpb-full-002097,full,split=full|label=neutral,2097,True,False
fpb,fpb-full-002115,full,split=full|label=neutral,2115,True,False
fpb,fpb-full-002135,full,split=full|label=neutral,2135,True,False
fpb,fpb-full-002153,full,split=full|label=positive,2153,True,False
fpb,fpb-full-002171,full,split=full|label=positive,2171,True,False
fpb,fpb-full-002175,full,split=full|label=positive,2175,True,False
fpb,fpb-full-002196,full,split=full|label=neutral,2196,True,False
fpb,fpb-full-002263,full,split=full|label=positive,2263,True,False
fpb,fpb-full-002268,full,split=full|label=positive,2268,True,False
fpb,fpb-full-002274,full,split=full|label=positive,2274,True,False
fpb,fpb-full-002275,full,split=full|label=positive,2275,True,False
fpb,fpb-full-002316,full,split=full|label=neutral,2316,True,False
fpb,fpb-full-002364,full,split=full|label=neutral,2364,True,False
fpb,fpb-full-002385,full,split=full|label=neutral,2385,True,False
fpb,fpb-full-002393,full,split=full|label=neutral,2393,True,False
fpb,fpb-full-002395,full,split=full|label=neutral,2395,True,False
fpb,fpb-full-002412,full,split=full|label=neutral,2412,True,False
fpb,fpb-full-002413,full,split=full|label=neutral,2413,True,False
fpb,fpb-full-002457,full,split=full|label=positive,2457,True,False
fpb,fpb-full-002464,full,split=full|label=neutral,2464,True,False
fpb,fpb-full-002513,full,split=full|label=neutral,2513,True,False
fpb,fpb-full-002581,full,split=full|label=neutral,2581,True,True
fpb,fpb-full-002587,full,split=full|label=neutral,2587,True,False
fpb,fpb-full-002605,full,split=full|label=neutral,2605,True,False
fpb,fpb-full-002657,full,split=full|label=neutral,2657,True,False
fpb,fpb-full-002705,full,split=full|label=neutral,2705,True,False
fpb,fpb-full-002798,full,split=full|label=negative,2798,True,False
fpb,fpb-full-002801,full,split=full|label=neutral,2801,True,False
fpb,fpb-full-002807,full,split=full|label=neutral,2807,True,False
fpb,fpb-full-002829,full,split=full|label=neutral,2829,True,False
fpb,fpb-full-002851,full,split=full|label=neutral,2851,True,False
fpb,fpb-full-002866,full,split=full|label=neutral,2866,True,False
fpb,fpb-full-002868,full,split=full|label=neutral,2868,True,False
fpb,fpb-full-002887,full,split=full|label=neutral,2887,True,True
fpb,fpb-full-002895,full,split=full|label=neutral,2895,True,False
fpb,fpb-full-002935,full,split=full|label=positive,2935,True,False
fpb,fpb-full-002976,full,split=full|label=neutral,2976,True,False
fpb,fpb-full-003002,full,split=full|label=neutral,3002,True,False
fpb,fpb-full-003043,full,split=full|label=neutral,3043,True,False
fpb,fpb-full-003080,full,split=full|label=neutral,3080,True,False
fpb,fpb-full-003085,full,split=full|label=neutral,3085,True,False
fpb,fpb-full-003086,full,split=full|label=neutral,3086,True,False
fpb,fpb-full-003104,full,split=full|label=neutral,3104,True,True
fpb,fpb-full-003144,full,split=full|label=neutral,3144,True,False
fpb,fpb-full-003168,full,split=full|label=neutral,3168,True,False
fpb,fpb-full-003171,full,split=full|label=neutral,3171,True,False
fpb,fpb-full-003235,full,split=full|label=neutral,3235,True,False
fpb,fpb-full-003299,full,split=full|label=neutral,3299,True,True
fpb,fpb-full-003311,full,split=full|label=neutral,3311,True,False
fpb,fpb-full-003315,full,split=full|label=neutral,3315,True,False
fpb,fpb-full-003332,full,split=full|label=neutral,3332,True,False
fpb,fpb-full-003363,full,split=full|label=neutral,3363,True,False
fpb,fpb-full-003381,full,split=full|label=neutral,3381,True,False
fpb,fpb-full-003384,full,split=full|label=neutral,3384,True,True
fpb,fpb-full-003432,full,split=full|label=neutral,3432,True,False
fpb,fpb-full-003435,full,split=full|label=neutral,3435,True,False
fpb,fpb-full-003451,full,split=full|label=neutral,3451,True,False
fpb,fpb-full-003470,full,split=full|label=neutral,3470,True,False
fpb,fpb-full-003487,full,split=full|label=neutral,3487,True,False
fpb,fpb-full-003505,full,split=full|label=neutral,3505,True,False
fpb,fpb-full-003519,full,split=full|label=neutral,3519,True,False
fpb,fpb-full-003523,full,split=full|label=neutral,3523,True,True
fpb,fpb-full-003605,full,split=full|label=neutral,3605,True,False
fpb,fpb-full-003634,full,split=full|label=negative,3634,True,False
fpb,fpb-full-003667,full,split=full|label=neutral,3667,True,False
fpb,fpb-full-003675,full,split=full|label=neutral,3675,True,False
fpb,fpb-full-003702,full,split=full|label=neutral,3702,True,True
fpb,fpb-full-003732,full,split=full|label=neutral,3732,True,False
fpb,fpb-full-003745,full,split=full|label=neutral,3745,True,False
fpb,fpb-full-003746,full,split=full|label=neutral,3746,True,False
fpb,fpb-full-003752,full,split=full|label=neutral,3752,True,False
fpb,fpb-full-003774,full,split=full|label=neutral,3774,True,True
fpb,fpb-full-003787,full,split=full|label=neutral,3787,True,False
fpb,fpb-full-003790,full,split=full|label=neutral,3790,True,False
fpb,fpb-full-003802,full,split=full|label=neutral,3802,True,False
fpb,fpb-full-003817,full,split=full|label=neutral,3817,True,False
fpb,fpb-full-003821,full,split=full|label=neutral,3821,True,False
fpb,fpb-full-003824,full,split=full|label=neutral,3824,True,False
fpb,fpb-full-003837,full,split=full|label=neutral,3837,True,False
fpb,fpb-full-003839,full,split=full|label=neutral,3839,True,False
fpb,fpb-full-003865,full,split=full|label=neutral,3865,True,False
fpb,fpb-full-003943,full,split=full|label=neutral,3943,True,True
fpb,fpb-full-003948,full,split=full|label=neutral,3948,True,False
fpb,fpb-full-004054,full,split=full|label=negative,4054,True,False
fpb,fpb-full-004160,full,split=full|label=neutral,4160,True,False
fpb,fpb-full-004170,full,split=full|label=neutral,4170,True,False
fpb,fpb-full-004175,full,split=full|label=negative,4175,True,False
fpb,fpb-full-004190,full,split=full|label=neutral,4190,True,False
fpb,fpb-full-004197,full,split=full|label=negative,4197,True,True
fpb,fpb-full-004198,full,split=full|label=neutral,4198,True,False
fpb,fpb-full-004211,full,split=full|label=neutral,4211,True,False
fpb,fpb-full-004220,full,split=full|label=negative,4220,True,False
fpb,fpb-full-004288,full,split=full|label=neutral,4288,True,False
fpb,fpb-full-004296,full,split=full|label=neutral,4296,True,False
fpb,fpb-full-004322,full,split=full|label=negative,4322,True,False
fpb,fpb-full-004358,full,split=full|label=neutral,4358,True,False
fpb,fpb-full-004401,full,split=full|label=negative,4401,True,True
fpb,fpb-full-004437,full,split=full|label=negative,4437,True,False
fpb,fpb-full-004444,full,split=full|label=negative,4444,True,False
fpb,fpb-full-004449,full,split=full|label=negative,4449,True,False
fpb,fpb-full-004460,full,split=full|label=positive,4460,True,False
fpb,fpb-full-004559,full,split=full|label=negative,4559,True,False
fpb,fpb-full-004565,full,split=full|label=negative,4565,True,False
fpb,fpb-full-004686,full,split=full|label=negative,4686,True,False
fpb,fpb-full-004698,full,split=full|label=negative,4698,True,False
fpb,fpb-full-004723,full,split=full|label=negative,4723,True,True
fpb,fpb-full-004739,full,split=full|label=negative,4739,True,False
fpb,fpb-full-004804,full,split=full|label=negative,4804,True,False
fpb,fpb-full-004835,full,split=full|label=negative,4835,True,False
fpb,fpb-full-004844,full,split=full|label=negative,4844,True,False
fiqa_sa,fiqa_sa-test-000014,test,split=test|label=positive,953,True,False
fiqa_sa,fiqa_sa-test-000040,test,split=test|label=negative,979,True,False
fiqa_sa,fiqa_sa-test-000041,test,split=test|label=negative,980,True,False
fiqa_sa,fiqa_sa-test-000047,test,split=test|label=positive,986,True,False
fiqa_sa,fiqa_sa-test-000055,test,split=test|label=positive,994,True,False
fiqa_sa,fiqa_sa-test-000057,test,split=test|label=positive,996,True,False
fiqa_sa,fiqa_sa-test-000064,test,split=test|label=positive,1003,True,False
fiqa_sa,fiqa_sa-test-000067,test,split=test|label=neutral,1006,True,True
fiqa_sa,fiqa_sa-test-000069,test,split=test|label=positive,1008,True,False
fiqa_sa,fiqa_sa-test-000076,test,split=test|label=positive,1015,True,False
fiqa_sa,fiqa_sa-test-000079,test,split=test|label=positive,1018,True,True
fiqa_sa,fiqa_sa-test-000095,test,split=test|label=negative,1034,True,False
fiqa_sa,fiqa_sa-test-000097,test,split=test|label=positive,1036,True,False
fiqa_sa,fiqa_sa-test-000104,test,split=test|label=negative,1043,True,False
fiqa_sa,fiqa_sa-test-000106,test,split=test|label=positive,1045,True,False
fiqa_sa,fiqa_sa-test-000112,test,split=test|label=negative,1051,True,False
fiqa_sa,fiqa_sa-test-000117,test,split=test|label=positive,1056,True,False
fiqa_sa,fiqa_sa-test-000119,test,split=test|label=positive,1058,True,True
fiqa_sa,fiqa_sa-test-000125,test,split=test|label=positive,1064,True,False
fiqa_sa,fiqa_sa-test-000127,test,split=test|label=positive,1066,True,False
fiqa_sa,fiqa_sa-test-000140,test,split=test|label=negative,1079,True,False
fiqa_sa,fiqa_sa-test-000142,test,split=test|label=negative,1081,True,False
fiqa_sa,fiqa_sa-test-000146,test,split=test|label=positive,1085,True,False
fiqa_sa,fiqa_sa-test-000147,test,split=test|label=positive,1086,True,False
fiqa_sa,fiqa_sa-test-000153,test,split=test|label=negative,1092,True,False
fiqa_sa,fiqa_sa-test-000154,test,split=test|label=positive,1093,True,False
fiqa_sa,fiqa_sa-test-000159,test,split=test|label=positive,1098,True,False
fiqa_sa,fiqa_sa-test-000169,test,split=test|label=positive,1108,True,False
fiqa_sa,fiqa_sa-test-000174,test,split=test|label=positive,1113,True,False
fiqa_sa,fiqa_sa-test-000177,test,split=test|label=negative,1116,True,False
fiqa_sa,fiqa_sa-test-000187,test,split=test|label=negative,1126,True,False
fiqa_sa,fiqa_sa-test-000188,test,split=test|label=positive,1127,True,False
fiqa_sa,fiqa_sa-test-000191,test,split=test|label=negative,1130,True,False
fiqa_sa,fiqa_sa-test-000195,test,split=test|label=negative,1134,True,True
fiqa_sa,fiqa_sa-test-000206,test,split=test|label=negative,1145,True,False
fiqa_sa,fiqa_sa-test-000211,test,split=test|label=negative,1150,True,False
fiqa_sa,fiqa_sa-test-000214,test,split=test|label=positive,1153,True,False
fiqa_sa,fiqa_sa-test-000223,test,split=test|label=negative,1162,True,False
fiqa_sa,fiqa_sa-test-000228,test,split=test|label=positive,1167,True,False
fiqa_sa,fiqa_sa-test-000233,test,split=test|label=positive,1172,True,False
fiqa_sa,fiqa_sa-train-000014,train,split=train|label=positive,14,True,False
fiqa_sa,fiqa_sa-train-000015,train,split=train|label=positive,15,True,False
fiqa_sa,fiqa_sa-train-000016,train,split=train|label=positive,16,True,False
fiqa_sa,fiqa_sa-train-000024,train,split=train|label=positive,24,True,False
fiqa_sa,fiqa_sa-train-000027,train,split=train|label=positive,27,True,False
fiqa_sa,fiqa_sa-train-000030,train,split=train|label=positive,30,True,False
fiqa_sa,fiqa_sa-train-000031,train,split=train|label=positive,31,True,False
fiqa_sa,fiqa_sa-train-000041,train,split=train|label=positive,41,True,False
fiqa_sa,fiqa_sa-train-000048,train,split=train|label=positive,48,True,False
fiqa_sa,fiqa_sa-train-000050,train,split=train|label=positive,50,True,False
fiqa_sa,fiqa_sa-train-000051,train,split=train|label=positive,51,True,False
fiqa_sa,fiqa_sa-train-000054,train,split=train|label=positive,54,True,True
fiqa_sa,fiqa_sa-train-000059,train,split=train|label=positive,59,True,False
fiqa_sa,fiqa_sa-train-000061,train,split=train|label=positive,61,True,False
fiqa_sa,fiqa_sa-train-000063,train,split=train|label=negative,63,True,False
fiqa_sa,fiqa_sa-train-000070,train,split=train|label=positive,70,True,False
fiqa_sa,fiqa_sa-train-000075,train,split=train|label=positive,75,True,False
fiqa_sa,fiqa_sa-train-000089,train,split=train|label=positive,89,True,False
fiqa_sa,fiqa_sa-train-000092,train,split=train|label=positive,92,True,False
fiqa_sa,fiqa_sa-train-000097,train,split=train|label=negative,97,True,False
fiqa_sa,fiqa_sa-train-000099,train,split=train|label=negative,99,True,False
fiqa_sa,fiqa_sa-train-000100,train,split=train|label=negative,100,True,False
fiqa_sa,fiqa_sa-train-000118,train,split=train|label=positive,118,True,False
fiqa_sa,fiqa_sa-train-000123,train,split=train|label=positive,123,True,False
fiqa_sa,fiqa_sa-train-000124,train,split=train|label=positive,124,True,True
fiqa_sa,fiqa_sa-train-000129,train,split=train|label=positive,129,True,False
fiqa_sa,fiqa_sa-train-000140,train,split=train|label=positive,140,True,False
fiqa_sa,fiqa_sa-train-000144,train,split=train|label=negative,144,True,False
fiqa_sa,fiqa_sa-train-000145,train,split=train|label=negative,145,True,False
fiqa_sa,fiqa_sa-train-000155,train,split=train|label=negative,155,True,False
fiqa_sa,fiqa_sa-train-000174,train,split=train|label=positive,174,True,False
fiqa_sa,fiqa_sa-train-000176,train,split=train|label=negative,176,True,False
fiqa_sa,fiqa_sa-train-000181,train,split=train|label=positive,181,True,False
fiqa_sa,fiqa_sa-train-000183,train,split=train|label=negative,183,True,False
fiqa_sa,fiqa_sa-train-000203,train,split=train|label=negative,203,True,False
fiqa_sa,fiqa_sa-train-000205,train,split=train|label=neutral,205,True,False
fiqa_sa,fiqa_sa-train-000206,train,split=train|label=positive,206,True,False
fiqa_sa,fiqa_sa-train-000210,train,split=train|label=negative,210,True,False
fiqa_sa,fiqa_sa-train-000234,train,split=train|label=negative,234,True,False
fiqa_sa,fiqa_sa-train-000239,train,split=train|label=positive,239,True,False
fiqa_sa,fiqa_sa-train-000247,train,split=train|label=positive,247,True,False
fiqa_sa,fiqa_sa-train-000254,train,split=train|label=negative,254,True,False
fiqa_sa,fiqa_sa-train-000259,train,split=train|label=positive,259,True,False
fiqa_sa,fiqa_sa-train-000262,train,split=train|label=negative,262,True,False
fiqa_sa,fiqa_sa-train-000263,train,split=train|label=negative,263,True,False
fiqa_sa,fiqa_sa-train-000272,train,split=train|label=negative,272,True,True
fiqa_sa,fiqa_sa-train-000274,train,split=train|label=positive,274,True,False
fiqa_sa,fiqa_sa-train-000276,train,split=train|label=positive,276,True,False
fiqa_sa,fiqa_sa-train-000280,train,split=train|label=positive,280,True,False
fiqa_sa,fiqa_sa-train-000282,train,split=train|label=negative,282,True,False
fiqa_sa,fiqa_sa-train-000284,train,split=train|label=neutral,284,True,True
fiqa_sa,fiqa_sa-train-000289,train,split=train|label=positive,289,True,True
fiqa_sa,fiqa_sa-train-000291,train,split=train|label=positive,291,True,False
fiqa_sa,fiqa_sa-train-000303,train,split=train|label=positive,303,True,False
fiqa_sa,fiqa_sa-train-000307,train,split=train|label=negative,307,True,False
fiqa_sa,fiqa_sa-train-000310,train,split=train|label=negative,310,True,False
fiqa_sa,fiqa_sa-train-000312,train,split=train|label=positive,312,True,False
fiqa_sa,fiqa_sa-train-000317,train,split=train|label=positive,317,True,True
fiqa_sa,fiqa_sa-train-000318,train,split=train|label=positive,318,True,False
fiqa_sa,fiqa_sa-train-000325,train,split=train|label=negative,325,True,False
fiqa_sa,fiqa_sa-train-000339,train,split=train|label=positive,339,True,False
fiqa_sa,fiqa_sa-train-000342,train,split=train|label=positive,342,True,False
fiqa_sa,fiqa_sa-train-000343,train,split=train|label=positive,343,True,False
fiqa_sa,fiqa_sa-train-000345,train,split=train|label=negative,345,True,False
fiqa_sa,fiqa_sa-train-000351,train,split=train|label=positive,351,True,False
fiqa_sa,fiqa_sa-train-000356,train,split=train|label=positive,356,True,False
fiqa_sa,fiqa_sa-train-000357,train,split=train|label=positive,357,True,True
fiqa_sa,fiqa_sa-train-000367,train,split=train|label=positive,367,True,False
fiqa_sa,fiqa_sa-train-000373,train,split=train|label=positive,373,True,False
fiqa_sa,fiqa_sa-train-000374,train,split=train|label=negative,374,True,False
fiqa_sa,fiqa_sa-train-000386,train,split=train|label=positive,386,True,False
fiqa_sa,fiqa_sa-train-000399,train,split=train|label=negative,399,True,True
fiqa_sa,fiqa_sa-train-000414,train,split=train|label=positive,414,True,False
fiqa_sa,fiqa_sa-train-000419,train,split=train|label=positive,419,True,False
fiqa_sa,fiqa_sa-train-000428,train,split=train|label=positive,428,True,False
fiqa_sa,fiqa_sa-train-000429,train,split=train|label=positive,429,True,False
fiqa_sa,fiqa_sa-train-000436,train,split=train|label=negative,436,True,False
fiqa_sa,fiqa_sa-train-000452,train,split=train|label=positive,452,True,False
fiqa_sa,fiqa_sa-train-000454,train,split=train|label=positive,454,True,True
fiqa_sa,fiqa_sa-train-000458,train,split=train|label=positive,458,True,False
fiqa_sa,fiqa_sa-train-000461,train,split=train|label=positive,461,True,False
fiqa_sa,fiqa_sa-train-000463,train,split=train|label=positive,463,True,False
fiqa_sa,fiqa_sa-train-000464,train,split=train|label=positive,464,True,False
fiqa_sa,fiqa_sa-train-000467,train,split=train|label=negative,467,True,False
fiqa_sa,fiqa_sa-train-000475,train,split=train|label=positive,475,True,False
fiqa_sa,fiqa_sa-train-000477,train,split=train|label=positive,477,True,False
fiqa_sa,fiqa_sa-train-000478,train,split=train|label=positive,478,True,False
fiqa_sa,fiqa_sa-train-000486,train,split=train|label=negative,486,True,False
fiqa_sa,fiqa_sa-train-000495,train,split=train|label=positive,495,True,False
fiqa_sa,fiqa_sa-train-000500,train,split=train|label=positive,500,True,False
fiqa_sa,fiqa_sa-train-000504,train,split=train|label=positive,504,True,False
fiqa_sa,fiqa_sa-train-000506,train,split=train|label=negative,506,True,False
fiqa_sa,fiqa_sa-train-000513,train,split=train|label=positive,513,True,False
fiqa_sa,fiqa_sa-train-000514,train,split=train|label=negative,514,True,True
fiqa_sa,fiqa_sa-train-000515,train,split=train|label=positive,515,True,False
fiqa_sa,fiqa_sa-train-000519,train,split=train|label=positive,519,True,False
fiqa_sa,fiqa_sa-train-000523,train,split=train|label=positive,523,True,False
fiqa_sa,fiqa_sa-train-000526,train,split=train|label=positive,526,True,False
fiqa_sa,fiqa_sa-train-000530,train,split=train|label=positive,530,True,True
fiqa_sa,fiqa_sa-train-000542,train,split=train|label=positive,542,True,False
fiqa_sa,fiqa_sa-train-000552,train,split=train|label=positive,552,True,False
fiqa_sa,fiqa_sa-train-000553,train,split=train|label=positive,553,True,False
fiqa_sa,fiqa_sa-train-000556,train,split=train|label=positive,556,True,False
fiqa_sa,fiqa_sa-train-000574,train,split=train|label=negative,574,True,False
fiqa_sa,fiqa_sa-train-000578,train,split=train|label=negative,578,True,False
fiqa_sa,fiqa_sa-train-000579,train,split=train|label=positive,579,True,False
fiqa_sa,fiqa_sa-train-000593,train,split=train|label=negative,593,True,False
fiqa_sa,fiqa_sa-train-000598,train,split=train|label=negative,598,True,False
fiqa_sa,fiqa_sa-train-000615,train,split=train|label=positive,615,True,False
fiqa_sa,fiqa_sa-train-000634,train,split=train|label=positive,634,True,False
fiqa_sa,fiqa_sa-train-000637,train,split=train|label=positive,637,True,False
fiqa_sa,fiqa_sa-train-000646,train,split=train|label=positive,646,True,True
fiqa_sa,fiqa_sa-train-000648,train,split=train|label=negative,648,True,True
fiqa_sa,fiqa_sa-train-000664,train,split=train|label=negative,664,True,False
fiqa_sa,fiqa_sa-train-000674,train,split=train|label=positive,674,True,False
fiqa_sa,fiqa_sa-train-000683,train,split=train|label=negative,683,True,False
fiqa_sa,fiqa_sa-train-000685,train,split=train|label=positive,685,True,False
fiqa_sa,fiqa_sa-train-000688,train,split=train|label=positive,688,True,False
fiqa_sa,fiqa_sa-train-000691,train,split=train|label=positive,691,True,True
fiqa_sa,fiqa_sa-train-000693,train,split=train|label=positive,693,True,False
fiqa_sa,fiqa_sa-train-000695,train,split=train|label=negative,695,True,False
fiqa_sa,fiqa_sa-train-000705,train,split=train|label=negative,705,True,False
fiqa_sa,fiqa_sa-train-000707,train,split=train|label=negative,707,True,False
fiqa_sa,fiqa_sa-train-000714,train,split=train|label=negative,714,True,False
fiqa_sa,fiqa_sa-train-000727,train,split=train|label=positive,727,True,False
fiqa_sa,fiqa_sa-train-000735,train,split=train|label=positive,735,True,False
fiqa_sa,fiqa_sa-train-000744,train,split=train|label=negative,744,True,False
fiqa_sa,fiqa_sa-train-000751,train,split=train|label=positive,751,True,False
fiqa_sa,fiqa_sa-train-000752,train,split=train|label=positive,752,True,False
fiqa_sa,fiqa_sa-train-000761,train,split=train|label=positive,761,True,False
fiqa_sa,fiqa_sa-train-000768,train,split=train|label=negative,768,True,False
fiqa_sa,fiqa_sa-train-000769,train,split=train|label=positive,769,True,False
fiqa_sa,fiqa_sa-train-000781,train,split=train|label=positive,781,True,False
fiqa_sa,fiqa_sa-train-000783,train,split=train|label=positive,783,True,False
fiqa_sa,fiqa_sa-train-000787,train,split=train|label=negative,787,True,False
fiqa_sa,fiqa_sa-train-000791,train,split=train|label=positive,791,True,False
fiqa_sa,fiqa_sa-train-000799,train,split=train|label=negative,799,True,False
fiqa_sa,fiqa_sa-train-000804,train,split=train|label=negative,804,True,False
fiqa_sa,fiqa_sa-train-000806,train,split=train|label=negative,806,True,False
fiqa_sa,fiqa_sa-train-000811,train,split=train|label=positive,811,True,False
fiqa_sa,fiqa_sa-valid-000003,valid,split=valid|label=negative,825,True,False
fiqa_sa,fiqa_sa-valid-000007,valid,split=valid|label=negative,829,True,False
fiqa_sa,fiqa_sa-valid-000008,valid,split=valid|label=negative,830,True,False
fiqa_sa,fiqa_sa-valid-000013,valid,split=valid|label=negative,835,True,False
fiqa_sa,fiqa_sa-valid-000015,valid,split=valid|label=positive,837,True,False
fiqa_sa,fiqa_sa-valid-000018,valid,split=valid|label=negative,840,True,False
fiqa_sa,fiqa_sa-valid-000027,valid,split=valid|label=negative,849,True,False
fiqa_sa,fiqa_sa-valid-000028,valid,split=valid|label=positive,850,True,True
fiqa_sa,fiqa_sa-valid-000029,valid,split=valid|label=positive,851,True,False
fiqa_sa,fiqa_sa-valid-000041,valid,split=valid|label=negative,863,True,True
fiqa_sa,fiqa_sa-valid-000047,valid,split=valid|label=positive,869,True,False
fiqa_sa,fiqa_sa-valid-000051,valid,split=valid|label=positive,873,True,False
fiqa_sa,fiqa_sa-valid-000054,valid,split=valid|label=positive,876,True,False
fiqa_sa,fiqa_sa-valid-000064,valid,split=valid|label=positive,886,True,False
fiqa_sa,fiqa_sa-valid-000066,valid,split=valid|label=positive,888,True,False
fiqa_sa,fiqa_sa-valid-000074,valid,split=valid|label=positive,896,True,False
fiqa_sa,fiqa_sa-valid-000077,valid,split=valid|label=negative,899,True,False
fiqa_sa,fiqa_sa-valid-000086,valid,split=valid|label=positive,908,True,False
