sample_id,dataset,reference_answer,prompt_a_prediction,prompt_a_answer_correct,prompt_a_format_valid,prompt_b_prediction,prompt_b_answer_correct,prompt_b_format_valid,comparison_category
financial_mmlu_ko-test-000106,financial_mmlu_ko,3,3,True,True,3,True,True,both_correct
financial_mmlu_ko-test-000120,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000126,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000143,financial_mmlu_ko,4,4,True,True,4,True,True,both_correct
financial_mmlu_ko-test-000167,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000175,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000221,financial_mmlu_ko,1,1,True,True,1,True,True,both_correct
financial_mmlu_ko-test-000229,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000253,financial_mmlu_ko,3,3,True,True,3,True,True,both_correct
financial_mmlu_ko-test-000302,financial_mmlu_ko,1,1,True,True,1,True,True,both_correct
financial_mmlu_ko-test-000312,financial_mmlu_ko,1,1,True,True,1,True,True,both_correct
financial_mmlu_ko-test-000353,financial_mmlu_ko,1,1,True,True,4,False,True,prompt_a_only_correct
financial_mmlu_ko-test-000405,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000429,financial_mmlu_ko,2,2,True,True,2,True,True,both_correct
financial_mmlu_ko-test-000455,financial_mmlu_ko,4,4,True,True,4,True,True,both_correct
