id,text,label,source_dataset
fiqa_94,$FB they are hitting  everything in sight.short it. but twtr,negative,FiQA
fiqa_95,AB InBev looks to win over SABMiller investors,positive,FiQA
fiqa_96,$FB down 7.5% from this #bearish pattern.  Considering the #bullish sentiment - That's an impressive bearish move https://t.co/TaJF0cH2qh,negative,FiQA
fiqa_97,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,FiQA
fiqa_98,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,positive,FiQA
fiqa_99,$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,positive,FiQA
fiqa_100,Long $GPRO for a brealout trade,positive,FiQA
fiqa_102,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,FiQA
fiqa_103,$TSLA Wish had my puts back but see if we can find support around 243.39 and pop up so that I can get back in. https://t.co/hFkLq3WObV,negative,FiQA
fiqa_104,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,positive,FiQA
fiqa_105,Shell offers 50 percent premium to buy BG for $70 billion,positive,FiQA
fiqa_106,Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative,FiQA
fiqa_108,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,positive,FiQA
fiqa_110,$GS sells flat..I am out..,negative,FiQA
fiqa_111,Why $MCD looks set to fall further. http://stks.co/f2fgj,negative,FiQA
fiqa_112,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",positive,FiQA
fiqa_114,$AMD big dumping... would not touch it for a while,negative,FiQA
fiqa_115,"$HAL If bulls lucky enuff to get an upside gap fill, better take it. Wouldn't chase it here. http://stks.co/r12Us",positive,FiQA
fiqa_116,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",positive,FiQA
fiqa_117,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,FiQA
fiqa_118,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",negative,FiQA
fiqa_119,RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative,FiQA
fiqa_120,$LNT Increases Annual Dividend Target to $1.80/Share from $1.70/Share,positive,FiQA
fiqa_121,Tesco share price jumps as Q3 sales top estimates,positive,FiQA
fiqa_122,Sophos aims to raise $100m in London IPO,positive,FiQA
fiqa_124,$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive,FiQA
fiqa_125,$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative,FiQA
fiqa_126,$AAPL Nice RSI 33 bounce at 9:58,positive,FiQA
fiqa_127,"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",negative,FiQA
fiqa_129,$FB still a dog going much lower this week,negative,FiQA
fiqa_130,This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive,FiQA
fiqa_131,"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",positive,FiQA
fiqa_132,@technik I still have a smaller $GILD pos. Being very tender with cash due to volatility. So reluctant to keep many big positions.,positive,FiQA
fiqa_133,$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,positive,FiQA
fiqa_134,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,positive,FiQA
fiqa_136,Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,positive,FiQA
fiqa_137,FDA approves AstraZeneca drug for advanced lung cancer,positive,FiQA
fiqa_138,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive,FiQA
fiqa_139,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive,FiQA
fiqa_141,$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative,FiQA
fiqa_142,$KCG bot at 2.24,positive,FiQA
fiqa_143,"$QCOR Just added 3,000 shares @28.",positive,FiQA
fiqa_144,Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,positive,FiQA
fiqa_145,$aapl news is becoming very bullish again http://stks.co/tMU,positive,FiQA
fiqa_146,$EFUT hod  posted buy pm at $4.40,positive,FiQA
fiqa_148,long $AAPL 107 calls @ .40,positive,FiQA
fiqa_149,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",positive,FiQA
fiqa_150,Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,positive,FiQA
fiqa_151,"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive,FiQA
fiqa_152,"$NFLX small pos, short 180 wkly puts.",negative,FiQA
fiqa_153,Look at that $AMZN > 600,positive,FiQA
fiqa_154,Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,negative,FiQA
fiqa_157,$AAPL wants lower. up waves getting smaller on the 2 min,negative,FiQA
fiqa_159,Long $X 24.62,positive,FiQA
fiqa_160,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,positive,FiQA
fiqa_161,"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive,FiQA
fiqa_162,London Stock Exchange Ã¢â¬â Deutsche Boerse merger under threat from Brexit,negative,FiQA
fiqa_164,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,positive,FiQA
fiqa_165,$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,positive,FiQA
fiqa_166,Goodwin not to face Scottish prosecution over RBS,positive,FiQA
fiqa_167,"$AMZN trades in mid to upper range. No break out yet, either direction",positive,FiQA
fiqa_169,InterContinental Hotels Group share price climbs on $1.5bn special dividend,positive,FiQA
fiqa_171,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive,FiQA
fiqa_172,$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,positive,FiQA
fiqa_173,#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,positive,FiQA
fiqa_175,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive,FiQA
fiqa_176,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",positive,FiQA
fiqa_177,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative,FiQA
fiqa_178,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,FiQA
fiqa_179,$BBRY lets see 14+ today,positive,FiQA
fiqa_180,"$DNN picked some up, like this going into 2014",positive,FiQA
fiqa_181,$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,positive,FiQA
fiqa_182,Glencore fight back over debt fears lifts shares,positive,FiQA
fiqa_183,"Upside moves in the volatile #mining sector, sending Anglo American PLC $AAL up 6.8% as of 4:30 PM, London time",positive,FiQA
fiqa_185,$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,FiQA
fiqa_186,I see a 20 percent upside in $FB shares from here,positive,FiQA
fiqa_187,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,negative,FiQA
fiqa_188,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,positive,FiQA
fiqa_189,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative,FiQA
fiqa_190,Glencore slumps 25 pct as debt fears grow,negative,FiQA
fiqa_191,WPP boosts sales despite cautious clients,positive,FiQA
fiqa_193,$amzn breaking,positive,FiQA
fiqa_194,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive,FiQA
fiqa_195,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,negative,FiQA
fiqa_197,Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,negative,FiQA
fiqa_200,Diageo Shares Surge on Report of Possible Takeover by Lemann,positive,FiQA
fiqa_201,$LUV Continues to consolidate above previous break out area...,positive,FiQA
fiqa_202,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive,FiQA
fiqa_203,$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive,FiQA
fiqa_204,Verizon and AT&T accused of hurting rivals,negative,FiQA
fiqa_205,@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,positive,FiQA
fiqa_206,Royal Mail gets mixed bag from Ofcom postal regulation report,negative,FiQA
fiqa_207,$AAPL 620 resistance area,negative,FiQA
fiqa_211,TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,positive,FiQA
fiqa_212,"Britain's FTSE bounces back, Mondi and Barratt lead",positive,FiQA
fiqa_213,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,negative,FiQA
fiqa_214,Royal Dutch Shell profit rises; dividend up 4%,positive,FiQA
fiqa_215,Amazon's grocery deal with Morrisons is only the beginning,positive,FiQA
fiqa_216,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,positive,FiQA
fiqa_217,Standard Chartered's Shares Plunge 7% After Fitch Downgrade,negative,FiQA
fiqa_218,"Rio Tinto swings to loss, drops dividend policy",negative,FiQA
fiqa_219,Lloyds to cut 945 jobs as part of three-year restructuring strategy,negative,FiQA
fiqa_221,Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative,FiQA
fiqa_222,$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative,FiQA
fiqa_223,MarketsBP promotes upstream boss to deputy CEO,positive,FiQA
fiqa_224,$CSX another strong rail today after breaking intraday resistance at 1$9.80 https://t.co/eA4FBVuqGP,positive,FiQA
fiqa_225,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,FiQA
fiqa_226,Valeant CEO Pledges to Heed Critics After `Painful' Experience,negative,FiQA
fiqa_227,Aviva shuts Friends Life head office in rapid integration move,negative,FiQA
fiqa_228,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative,FiQA
fiqa_229,Arm profits and sales up as shift away from mobile gains pace,positive,FiQA
fiqa_230,$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,positive,FiQA
fiqa_231,"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative,FiQA
fiqa_232,Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,positive,FiQA
fiqa_234,Barclays sells benchmark indices unit to Bloomberg,positive,FiQA
fiqa_235,Australia clears AB Inbev's $100 billion SABMiller buyout plan,positive,FiQA
fiqa_236,Aberdeen Asset Management Gains Foothold In China,positive,FiQA
fiqa_237,AstraZeneca share price: Acerta deal pays off with orphan drug status,positive,FiQA
fiqa_238,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive,FiQA
fiqa_239,Merged LSE and Deutsche BÃÂ¶rse would be led by Germany's Kengeter,positive,FiQA
fiqa_240,$RIMM $spx $nya $compq $djia all going down,negative,FiQA
fiqa_241,Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive,FiQA
fiqa_242,$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,positive,FiQA
fiqa_243,Long $PCLN,positive,FiQA
fiqa_245,"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,FiQA
fiqa_246,Entertainment One dispels ITV takeover rumours,positive,FiQA
fiqa_248,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,positive,FiQA
fiqa_249,Passengers rise at EasyJet and Aer Lingus,positive,FiQA
fiqa_250,$NVDA sideways,neutral,FiQA
fiqa_251,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,FiQA
fiqa_252,Tesco share price tumbles after negative broker note,negative,FiQA
fiqa_253,"$amrn Full bull call spread ranging July to Jan 15. Lets see what this baby does,",positive,FiQA
fiqa_254,loading $SPY and $AAPL puts. think were toppy IMHO.,negative,FiQA
fiqa_255,$ES_F. Nice little cup-and-handle shaping up on the 15-minute. End-of-day $SPY $SPX favours a good day for the index. Will we see a gap open,positive,FiQA
fiqa_256,$SPY Looks like bear traps getting laid faster than Cadbury Creme Eggs by the Easter Bunny,positive,FiQA
fiqa_257,$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,positive,FiQA
fiqa_258,$Oil slid to a four-year low after #OPEC kept its oil production unchanged  http://stks.co/a1IX4 $USO $WTI $Brent,negative,FiQA
fiqa_260,$RNN More bleeding Monday.,negative,FiQA
fiqa_261,Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,positive,FiQA
fiqa_262,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",negative,FiQA
fiqa_263,$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative,FiQA
fiqa_264,"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive,FiQA
fiqa_267,Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive,FiQA
fiqa_268,$INTC finally some nice downside move... looking for the 31 handle to break,negative,FiQA
fiqa_269,"CompaniesNew Aggreko CEO to reshape business, strip costs",positive,FiQA
fiqa_271,"$INTU is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dR5baNun2u",positive,FiQA
fiqa_272,Tesco leads FTSE higher on Clubcard bid reports,positive,FiQA
fiqa_273,pretty steady accumulation off support today.  Purdy. $AGU,positive,FiQA
fiqa_274,Market Report: Aviva tops the market as traders approve of its choice of Friends,positive,FiQA
fiqa_276,"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative,FiQA
fiqa_278,$AAPL price momentum weakening going into the close.,negative,FiQA
fiqa_279,LSE-Deutsche BÃÂ¶rse dealmakers wrong to ignore Brexit risk,negative,FiQA
fiqa_280,$YELP This goes green and so many shorts are toast!,positive,FiQA
fiqa_281,$NFLX VISION : short term consolidation then movement higher http://stks.co/j05uu,positive,FiQA
fiqa_282,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,positive,FiQA
fiqa_283,$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,negative,FiQA
fiqa_284,AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,FiQA
fiqa_285,$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,FiQA
fiqa_287,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",positive,FiQA
fiqa_288,$AAPL I am big OUT from this. seems its falling towards 530.. :(,negative,FiQA
fiqa_290,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",negative,FiQA
fiqa_291,Sainsbury's says to outperform rivals in tough market,positive,FiQA
fiqa_292,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,negative,FiQA
fiqa_293,"$WFM Bought a little yesterday, hoping for an earnings pop.",positive,FiQA
fiqa_295,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",negative,FiQA
fiqa_299,BHP Billiton drags FTSE lower after slashing dividend,negative,FiQA
fiqa_300,@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,FiQA
fiqa_301,Greene King's third quarter sales boosted by festive season,positive,FiQA
fiqa_302,$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,positive,FiQA
fiqa_303,$BBRY Sierra. Has a great cash balance and impressive growth rate.Would be a wonderful marriage!,positive,FiQA
fiqa_304,@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,negative,FiQA
fiqa_305,$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive,FiQA
fiqa_307,$GOOGL is a short below 740 into the upper BB and is overbought,negative,FiQA
fiqa_308,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive,FiQA
fiqa_311,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neutral,FiQA
fiqa_312,$HRL ready to pop! http://stks.co/s0Ny4,positive,FiQA
fiqa_313,Spain's Caixabank launches new takeover bid for Banco BPI,positive,FiQA
fiqa_314,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",positive,FiQA
fiqa_315,@Vegastrader66 Looks like good entry for $QIHU here.,positive,FiQA
fiqa_316,Severn Trent share price rises as first half profit inches up as customer ...,positive,FiQA
fiqa_317,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",positive,FiQA
fiqa_318,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",positive,FiQA
fiqa_320,@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,negative,FiQA
fiqa_321,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,positive,FiQA
fiqa_322,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,FiQA
fiqa_323,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative,FiQA
fiqa_324,$COST short finally making gains. I will take half my gains at 147,negative,FiQA
fiqa_325,$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,positive,FiQA
fiqa_326,"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",positive,FiQA
fiqa_328,$TSLA recall,negative,FiQA
fiqa_329,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,positive,FiQA
fiqa_330,Petrofac books further ÃÂ£30m cost for Shetland gas terminal delays,negative,FiQA
fiqa_331,"$FB trend, hits mid 110's and drops",negative,FiQA
fiqa_334,"Berkshire discloses unit's ties to Iran, opens probe",negative,FiQA
fiqa_335,$FB gettin in the buy zone soon ;),positive,FiQA
fiqa_336,$ATHN Seems like a good short setup. Stop above the 50 day. No position.,negative,FiQA
fiqa_337,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,positive,FiQA
fiqa_338,$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive,FiQA
fiqa_339,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE",negative,FiQA
fiqa_340,Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative,FiQA
fiqa_341,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive,FiQA
fiqa_343,Sainsbury sales slip again as price pressures take a toll,negative,FiQA
fiqa_345,SABMiller revenue hit by weaker EM currencies,negative,FiQA
fiqa_346,$NUAN held up well after the big gains! Maybe we're finally on the move on this!!its still very undervalued and has major upside,positive,FiQA
fiqa_347,$FB slight green... May be runner later,positive,FiQA
fiqa_348,$WFT closng higher from here,positive,FiQA
fiqa_349,$TSPT  long 8.00,positive,FiQA
fiqa_351,Shire CEO steps up drive to get Baxalta board talking,positive,FiQA
fiqa_352,"Long Position on $IP,....Scaling UP http://stks.co/sIln",positive,FiQA
fiqa_353,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,FiQA
fiqa_354,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive,FiQA
